column_1;column_2;column_3;column_4;coordonnees;geom
3400;Wange;5.0302723897201;50.7838394;50.7838394, 5.03027238972;
3440;Budingen;5.0871237674967;50.8653457;50.8653457, 5.0871237675;
3440;Dormaal;5.0920421498928;50.8063449;50.8063449, 5.09204214989;
3440;Zoutleeuw;5.1186447480147;50.8415653;50.8415653, 5.11864474801;
3460;Bekkevoort;4.984616971522;50.9338977;50.9338977, 4.98461697152;
3473;Waanrode;5.0037716328589;50.9129375;50.9129375, 5.00377163286;
3500;Sint-Lambrechts-Herk;5.3119462785891;50.90358435;50.90358435, 5.31194627859;
3511;Stokrooie;5.2747491372719;50.97085355;50.97085355, 5.27474913727;
3530;Houthalen;5.4121547136036;51.036563;51.036563, 5.4121547136;
3540;Donk;4.9053567;50.9582088;50.9582088, 4.9053567;
3545;Loksbergen;5.0656234079577;50.9321193;50.9321193, 5.06562340796;
3550;Heusden-Zolder;5.2750485;51.0233485;51.0233485, 5.2750485;
3550;Zolder;5.3135203;51.0236553;51.0236553, 5.3135203;
3560;Linkhout;5.1372552;50.9657859;50.9657859, 5.1372552;
3631;Uikhoven;5.7199198507341;50.9264738;50.9264738, 5.71991985073;
3640;Ophoven;5.7881529659009;51.13225635;51.13225635, 5.7881529659;
3650;Lanklaar;5.6747570297643;51.01085805;51.01085805, 5.67475702976;
3668;Niel-Bij-As;5.6161660037867;51.0182495;51.0182495, 5.61616600379;
3680;Neeroeteren;5.7027136767689;51.0946499;51.0946499, 5.70271367677;
3700;Overrepen;5.4301056;50.8067083;50.8067083, 5.4301056;
3700;Riksingen;5.4616724;50.8065023;50.8065023, 5.4616724;
3700;Rutten;5.4421316;50.747053;50.747053, 5.4421316;
3700;Tongeren;5.4648131;50.7810151;50.7810151, 5.4648131;
3721;Vliermaalroot;5.4298574663068;50.8667966;50.8667966, 5.42985746631;
3722;Wintershoven;5.4073456316551;50.85566395;50.85566395, 5.40734563166;
3730;Hoeselt;5.4865309;50.8500788;50.8500788, 5.4865309;
3740;Kleine-Spouwen;5.5473874;50.8379653;50.8379653, 5.5473874;
3740;Mopertingen;5.5760673;50.862295;50.862295, 5.5760673;
3740;Munsterbilzen;5.5270242;50.8883348;50.8883348, 5.5270242;
3742;Martenslinde;5.5340486411054;50.8523326;50.8523326, 5.53404864111;
3770;Kanne;5.6692203;50.8141622;50.8141622, 5.6692203;
3770;Riemst;5.5978716;50.8115825;50.8115825, 5.5978716;
3770;Vroenhoven;5.6374847;50.828018;50.828018, 5.6374847;
3770;Zichen-Zussen-Bolder;5.6153404;50.7943475;50.7943475, 5.6153404;
3803;Runkelen;5.1519921;50.8477735;50.8477735, 5.1519921;
3803;Wilderen;5.1423025876022;50.81773655;50.81773655, 5.1423025876;
3840;Bommershoven;5.3823531554707;50.78522885;50.78522885, 5.38235315547;
3840;Borgloon;5.3569929252994;50.8004351;50.8004351, 5.3569929253;
3840;Hoepertingen;5.2852748851765;50.81158915;50.81158915, 5.28527488518;
3840;Jesseren;5.3905151;50.8058717;50.8058717, 5.3905151;
3870;Batsheers;5.2807989;50.7381794;50.7381794, 5.2807989;
3890;Boekhout;5.2314326932833;50.7456072;50.7456072, 5.23143269328;
3890;Jeuk;5.2095391018082;50.73257605;50.73257605, 5.20953910181;
3890;Niel-Bij-Sint-Truiden;5.14193594683;50.7404614;50.7404614, 5.14193594683;
3890;Vorsen;5.1713288748516;50.705232;50.705232, 5.17132887485;
3910;Neerpelt;5.4314419;51.2289746;51.2289746, 5.4314419;
3930;Hamont-Achel;5.5128696;51.2547636;51.2547636, 5.5128696;
3945;Oostham;5.1838556043202;51.10876505;51.10876505, 5.18385560432;
3950;Kaulille;5.5172805548337;51.19391715;51.19391715, 5.51728055483;
3960;Gerdingen;5.5648743785157;51.1304481;51.1304481, 5.56487437852;
3960;Tongerlo;5.6788533966978;51.1305517;51.1305517, 5.6788533967;
3970;Leopoldsburg;5.2638924294785;51.1220584;51.1220584, 5.26389242948;
3990;Kleine-Brogel;5.4623610101885;51.1726086;51.1726086, 5.46236101019;
3990;Peer;5.4491572190061;51.10874;51.10874, 5.44915721901;
4000;Rocourt;5.547616;50.678042;50.678042, 5.547616;
4020;Bressoux;5.6111443;50.6412964;50.6412964, 5.6111443;
4020;Jupille-Sur-Meuse;5.6301266;50.6431909;50.6431909, 5.6301266;
4020;Wandre;5.6596627;50.670247;50.670247, 5.6596627;
4051;Vaux-Sous-Chèvremont;5.6335963;50.6018717;50.6018717, 5.6335963;
4100;Boncelles;5.5355698;50.5742979;50.5742979, 5.5355698;
4100;Seraing;5.5083375;50.5966392;50.5966392, 5.5083375;
4101;Jemeppe-Sur-Meuse;5.5049541;50.6168289;50.6168289, 5.5049541;
4130;Esneux;5.5757727440324;50.5337249;50.5337249, 5.57577274403;
4130;Tilff;5.594232762079;50.5613241;50.5613241, 5.59423276208;
4140;Gomzé-Andoumont;5.6835772963268;50.54506305;50.54506305, 5.68357729633;
4160;Anthisnes;5.5225261;50.481662;50.481662, 5.5225261;
4180;Comblain-La-Tour;5.5699525;50.4553077;50.4553077, 5.5699525;
4190;My;5.5726031;50.40526;50.40526, 5.5726031;
4210;Burdinne;5.072436;50.5812607;50.5812607, 5.072436;
4219;Acosse;5.0485902;50.5945676;50.5945676, 5.0485902;
4250;Geer;5.1710529;50.6684881;50.6684881, 5.1710529;
4250;Hollogne-Sur-Geer;5.2045681;50.6770806;50.6770806, 5.2045681;
4280;Cras-Avernas;5.122837;50.6978983;50.6978983, 5.122837;
4287;Pellaines;5.0055524;50.7228078;50.7228078, 5.0055524;
4287;Racour;5.0290114;50.7388269;50.7388269, 5.0290114;
4300;Waremme;5.2546191;50.6976875;50.6976875, 5.2546191;
4347;Noville;5.3827164;50.6598522;50.6598522, 5.3827164;
4347;Roloux;5.3960063;50.6494928;50.6494928, 5.3960063;
4357;Jeneffe;5.3559477;50.6532256;50.6532256, 5.3559477;
4400;Chokier;5.4528969;50.5936483;50.5936483, 5.4528969;
4432;Xhendremael;5.4805775;50.7043671;50.7043671, 5.4805775;
4451;Voroux-Lez-Liers;5.552484;50.687631;50.687631, 5.552484;
4460;Grâce-Berleur;5.501194;50.6323331;50.6323331, 5.501194;
4460;Horion-Hozémont;5.3886713;50.6149668;50.6149668, 5.3886713;
4470;Saint-Georges-Sur-Meuse;5.3579041;50.6000686;50.6000686, 5.3579041;
4480;Engis;5.4043113;50.582433;50.582433, 5.4043113;
4540;Ampsin;5.286736;50.540238;50.540238, 5.286736;
4550;Yernée-Fraineux;5.3819538;50.5284301;50.5284301, 5.3819538;
4557;Tinlot;5.3786954;50.4777419;50.4777419, 5.3786954;
4560;Bois-Et-Borsu;5.3302671;50.3946271;50.3946271, 5.3302671;
4560;Ocquier;5.3954539;50.3965212;50.3965212, 5.3954539;
4577;Modave;5.3017936;50.4416137;50.4416137, 5.3017936;
4590;Ouffet;5.4653273;50.4377341;50.4377341, 5.4653273;
4600;Lixhe;5.680109;50.7550757;50.7550757, 5.680109;
4601;Argenteau;5.686015;50.6957645;50.6957645, 5.686015;
4607;Dalhem;5.7229816;50.7139302;50.7139302, 5.7229816;
4620;Fléron;5.6832219;50.6168354;50.6168354, 5.6832219;
4624;Romsée;5.6655488;50.6068155;50.6068155, 5.6655488;
4633;Melen;5.7370469;50.6460841;50.6460841, 5.7370469;
4650;Julémont;5.7718682;50.6856398;50.6856398, 5.7718682;
4680;Oupeye;5.6450671;50.7091889;50.7091889, 5.6450671;
4683;Vivegnis;5.6527071;50.697932;50.697932, 5.6527071;
4690;Wonck;5.6333621;50.7677078;50.7677078, 5.6333621;
4730;Hauset;6.0708402;50.7080172;50.7080172, 6.0708402;
4731;Eynatten;6.081697;50.6935863;50.6935863, 6.081697;
4760;Manderfeld;6.3400555;50.3310938;50.3310938, 6.3400555;
4780;Recht;6.0431296;50.3349273;50.3349273, 6.0431296;
4783;Lommersweiler;6.1651484;50.2389236;50.2389236, 6.1651484;
4802;Heusy;5.867539;50.57804;50.57804, 5.867539;
4834;Goé;5.9562188;50.6086202;50.6086202, 5.9562188;
4841;Henri-Chapelle;5.9318018;50.6768234;50.6768234, 5.9318018;
4845;Sart-Lez-Spa;5.933482;50.51744;50.51744, 5.933482;
4850;Moresnet;5.9880362;50.7208739;50.7208739, 5.9880362;
4860;Wegnez;5.8175559;50.5789617;50.5789617, 5.8175559;
4870;Forêt;5.7002354;50.583997;50.583997, 5.7002354;
4910;Theux;5.8198955843753;50.52586075;50.52586075, 5.81989558438;
4980;Trois-Ponts;5.8704355;50.3727015;50.3727015, 5.8704355;
4990;Bra;5.7309407;50.3208964;50.3208964, 5.7309407;
4990;Lierneux;5.7920929;50.28574;50.28574, 5.7920929;
5001;Belgrade;4.8222958522639;50.46923485;50.46923485, 4.82229585226;
5020;Champion;4.9035112119756;50.49862565;50.49862565, 4.90351121198;
5020;Suarlée;4.7780268559488;50.4883008;50.4883008, 4.77802685595;
5020;Temploux;4.7509248;50.4829793;50.4829793, 4.7509248;
5030;Grand-Manil;4.683029;50.556923;50.556923, 4.683029;
5032;Bossière;4.6919946070362;50.52340745;50.52340745, 4.69199460704;
5060;Auvelais;4.6354624;50.4470193;50.4470193, 4.6354624;
5070;Vitrival;4.6558828;50.3941596;50.3941596, 4.6558828;
5100;Dave;4.9043004277231;50.4110871;50.4110871, 4.90430042772;
5100;Wierde;4.9497445929374;50.4286275;50.4286275, 4.94974459294;
5101;Erpent;4.9094515331252;50.4474046;50.4474046, 4.90945153313;
5140;Sombreffe;4.6025925;50.5246589;50.5246589, 4.6025925;
5150;Floriffoux;4.7694348;50.4515822;50.4515822, 4.7694348;
5150;Soye;4.730789;50.4494828;50.4494828, 4.730789;
5170;Arbre;4.820627;50.365529;50.365529, 4.820627;
5170;Bois-De-Villers;4.823377;50.389973;50.389973, 4.823377;
5170;Rivière;4.8724268;50.3580729;50.3580729, 4.8724268;
5190;Jemeppe-Sur-Sambre;4.6545986012407;50.46299585;50.46299585, 4.65459860124;
5300;Seilles;5.0805501;50.4984249;50.4984249, 5.0805501;
5300;Vezin;5.0114611;50.4966018;50.4966018, 5.0114611;
5310;Eghezée;4.9049523;50.5917416;50.5917416, 4.9049523;
5310;Liernu;4.8311032;50.5821124;50.5821124, 4.8311032;
5310;Longchamps;4.8962185;50.5772925;50.5772925, 4.8962185;
5310;Mehaigne;4.8762345;50.5942203;50.5942203, 4.8762345;
5310;Taviers;4.9318579;50.6170592;50.6170592, 4.9318579;
5340;Faulx-Les-Tombes;5.0191438;50.4272928;50.4272928, 5.0191438;
5340;Sorée;5.1258806;50.4001817;50.4001817, 5.1258806;
5351;Haillot;5.1491871;50.4405961;50.4405961, 5.1491871;
5370;Porcheresse;5.2408578;50.3384304;50.3384304, 5.2408578;
5376;Miécret;5.24941;50.365689;50.365689, 5.24941;
5377;Waillet;5.304196;50.260584;50.260584, 5.304196;
5500;Anseremme;4.907923;50.23791;50.23791, 4.907923;
5500;Dréhance;4.9388148;50.2368273;50.2368273, 4.9388148;
5504;Foy-Notre-Dame;4.9897127;50.2471757;50.2471757, 4.9897127;
5530;Durnal;4.9857278;50.3380783;50.3380783, 4.9857278;
5530;Mont;5.7909538;50.5341607;50.5341607, 5.7909538;
5537;Warnant;4.836084;50.3238206;50.3238206, 4.836084;
5544;Agimont;4.7942801;50.16421;50.16421, 4.7942801;
5555;Naomé;5.0894297;49.9226206;49.9226206, 5.0894297;
5560;Ciergnon;5.0899109;50.1666464;50.1666464, 5.0899109;
5570;Beauraing;4.9576144;50.1105211;50.1105211, 4.9576144;
5570;Wancennes;4.961015;50.0920374;50.0920374, 4.961015;
5575;Malvoisin;4.9609972;50.0121497;50.0121497, 4.9609972;
5575;Vencimont;4.9198406;50.0323702;50.0323702, 4.9198406;
5576;Froidfontaine;5.000634;50.0604028;50.0604028, 5.000634;
5580;Ave-Et-Auffe;5.1530857761777;50.11195305;50.11195305, 5.15308577618;
5580;Jemelle;5.2624584;50.1624278;50.1624278, 5.2624584;
5580;Wavreille;5.2419236738324;50.11639205;50.11639205, 5.24192367383;
5590;Braibant;5.0629626;50.3129076;50.3129076, 5.0629626;
5590;Ciney;5.0974251;50.2949558;50.2949558, 5.0974251;
5600;Fagnolle;4.5703749;50.1050216;50.1050216, 4.5703749;
5600;Merlemont;4.6072911;50.1728667;50.1728667, 4.6072911;
5600;Omezée;4.6995791;50.1933288;50.1933288, 4.6995791;
5600;Roly;4.5381501;50.1356527;50.1356527, 4.5381501;
5600;Sart-En-Fagne;4.6199447;50.1579167;50.1579167, 4.6199447;
5600;Sautour;4.5612425;50.1694005;50.1694005, 4.5612425;
5600;Vodecée;4.5920788;50.1972001;50.1972001, 4.5920788;
5620;Corenne;4.6792792;50.2519501;50.2519501, 4.6792792;
5620;Morville;4.7440112;50.2330003;50.2330003, 4.7440112;
5621;Hanzinelle;4.5607099;50.2949873;50.2949873, 4.5607099;
5621;Hanzinne;4.5435524;50.3084666;50.3084666, 4.5435524;
5621;Morialmé;4.5634203;50.2776442;50.2776442, 4.5634203;
5630;Cerfontaine;4.4125932;50.1687764;50.1687764, 4.4125932;
5630;Senzeille;4.466208;50.1762834;50.1762834, 4.466208;
5640;Oret;4.615806;50.3004056;50.3004056, 4.615806;
5641;Furnaux;4.7055271;50.3080016;50.3080016, 4.7055271;
5646;Stave;4.6590441;50.2828212;50.2828212, 4.6590441;
5650;Fraire;4.5081639;50.2613846;50.2613846, 4.5081639;
5660;Boussu-En-Fagne;4.4710191;50.0754838;50.0754838, 4.4710191;
5670;Treignes;4.6692715;50.0922698;50.0922698, 4.6692715;
5670;Vierves-Sur-Viroin;4.634249;50.080269;50.080269, 4.634249;
5670;Viroinval;4.6270287;50.0516361;50.0516361, 4.6270287;
5680;Doische;4.7458219;50.1357152;50.1357152, 4.7458219;
5680;Gimnée;4.7141334;50.1315986;50.1315986, 4.7141334;
5680;Matagne-La-Grande;4.6236448;50.1171293;50.1171293, 4.6236448;
5680;Matagne-La-Petite;4.6468816;50.1186008;50.1186008, 4.6468816;
5680;Niverlée;4.7026857;50.1177554;50.1177554, 4.7026857;
5680;Vodelée;4.7323157;50.1702393;50.1702393, 4.7323157;
6030;Goutroux;4.3611946147288;50.41684425;50.41684425, 4.36119461473;
6030;Marchienne-Au-Pont;4.3960065;50.4067102;50.4067102, 4.3960065;
6040;Jumet;4.4360232749854;50.44466065;50.44466065, 4.43602327499;
6110;Montigny-Le-Tilleul;4.3602314806535;50.369072045553;50.3690720456, 4.36023148065;
6120;Cour-Sur-Heure;4.3868963;50.2974701;50.2974701, 4.3868963;
6120;Ham-Sur-Heure;4.3889214;50.3219897;50.3219897, 4.3889214;
6142;Leernes;4.3307851;50.3974398;50.3974398, 4.3307851;
6150;Anderlues;4.2696102;50.4079969;50.4079969, 4.2696102;
6180;Courcelles;4.3763406;50.4601576;50.4601576, 4.3763406;
6210;Frasnes-Lez-Gosselies;4.4501525;50.5376477;50.5376477, 4.4501525;
6210;Wayaux;4.4723314;50.4896309;50.4896309, 4.4723314;
6211;Mellet;4.4782005997401;50.50462075;50.50462075, 4.47820059974;
6220;Wangenies;4.519112;50.4776689;50.4776689, 4.519112;
6222;Brye;4.561356496071;50.53007005;50.53007005, 4.56135649607;
6280;Joncret;4.5125952;50.3528064;50.3528064, 4.5125952;
6280;Loverval;4.47342;50.374997;50.374997, 4.47342;
6441;Erpion;4.3512321;50.2118893;50.2118893, 4.3512321;
6460;Salles;4.247403;50.0560102;50.0560102, 4.247403;
6461;Virelles;4.3329805;50.0648008;50.0648008, 4.3329805;
6464;Forges;4.3211041;50.022579;50.022579, 4.3211041;
6470;Sautin;4.226143;50.163816;50.163816, 4.226143;
6500;Barbençon;4.2859259;50.2206905;50.2206905, 4.2859259;
6500;Thirimont;4.2364418;50.2608137;50.2608137, 4.2364418;
6534;Gozée;4.3515595;50.3332279;50.3332279, 4.3515595;
6536;Thuillies;4.329007;50.2947304;50.2947304, 4.329007;
6560;Montignies-Saint-Christophe;4.1884975;50.2815734;50.2815734, 4.1884975;
6591;Macon;4.2096331;50.052122;50.052122, 4.2096331;
6637;Fauvillers;5.665031;49.8509306;49.8509306, 5.665031;
6660;Houffalize;5.7886928;50.1323761;50.1323761, 5.7886928;
6660;Nadrin;5.6807442;50.1611829;50.1611829, 5.6807442;
6680;Amberloup;5.5272931;50.0292955;50.0292955, 5.5272931;
6680;Sainte-Ode;5.5245094;50.0362888;50.0362888, 5.5245094;
6692;Petit-Thier;5.9672766;50.3074461;50.3074461, 5.9672766;
6698;Grand-Halleux;5.9072517;50.3262753;50.3262753, 5.9072517;
6717;Nobressart;5.7187077;49.7399333;49.7399333, 5.7187077;
6717;Tontelange;5.8099377;49.7266352;49.7266352, 5.8099377;
6720;Hachy;5.6805003;49.7015507;49.7015507, 5.6805003;
6730;Bellefontaine;5.4979103;49.6649541;49.6649541, 5.4979103;
6743;Buzenol;5.5942184;49.6478969;49.6478969, 5.5942184;
6750;Mussy-La-Ville;5.6617004;49.5714143;49.5714143, 5.6617004;
6760;Ruette;5.5937884;49.5376723;49.5376723, 5.5937884;
6781;Sélange;5.848409;49.6081105;49.6081105, 5.848409;
6800;Remagne;5.494626;49.9764499;49.9764499, 5.494626;
6800;Saint-Pierre;5.386433;49.9047868;49.9047868, 5.386433;
6851;Nollevaux;5.1220764;49.8710591;49.8710591, 5.1220764;
6870;Mirwart;5.2653304;50.0569945;50.0569945, 5.2653304;
6890;Ochamps;5.2781878;49.9244612;49.9244612, 5.2781878;
6890;Transinne;5.2026639;50.0004466;50.0004466, 5.2026639;
6890;Villance;5.2221196;49.9709626;49.9709626, 5.2221196;
6900;Waha;5.3441742;50.2119666;50.2119666, 5.3441742;
6940;Durbuy;5.456248;50.3524116;50.3524116, 5.456248;
6953;Masbourg;5.3136921;50.1143521;50.1143521, 5.3136921;
6960;Dochamps;5.6230297;50.234199;50.234199, 5.6230297;
6960;Odeigne;5.682551;50.2563686;50.2563686, 5.682551;
6980;Beausaint;5.5532565;50.170322;50.170322, 5.5532565;
6987;Beffe;5.5230608;50.245425;50.245425, 5.5230608;
6987;Rendeux;5.5043243;50.2330466;50.2330466, 5.5043243;
6990;Hotton;5.4463304;50.2688011;50.2688011, 5.4463304;
7000;Mons;3.951958;50.4549568;50.4549568, 3.951958;
7022;Nouvelles;3.9689185;50.4100798;50.4100798, 3.9689185;
7040;Aulnois;3.9031862;50.340829;50.340829, 3.9031862;
7040;Blaregnies;3.8980429;50.357777;50.357777, 3.8980429;
7040;Goegnies-Chaussée;3.9442029;50.3422836;50.3422836, 3.9442029;
7040;Quévy-Le-Grand;3.9492347;50.3609637;50.3609637, 3.9492347;
7062;Naast;4.1011662;50.5536883;50.5536883, 4.1011662;
7063;Chaussée-Notre-Dame-Louvignies;3.9979808;50.5921606;50.5921606, 3.9979808;
7080;Eugies;3.8883703;50.3906692;50.3906692, 3.8883703;
7090;Hennuyères;4.1715689;50.6386981;50.6386981, 4.1715689;
7110;Boussoit;4.081995;50.4588091;50.4588091, 4.081995;
7110;Maurage;4.0979858;50.4577279;50.4577279, 4.0979858;
7120;Haulchin;4.0801348;50.3831523;50.3831523, 4.0801348;
7120;Peissant;4.1208612;50.3512136;50.3512136, 4.1208612;
7120;Vellereille-Les-Brayeux;4.1507915;50.3790081;50.3790081, 4.1507915;
7131;Waudrez;4.150981;50.4137808;50.4137808, 4.150981;
7300;Boussu;3.7960902;50.4331253;50.4331253, 3.7960902;
7322;Ville-Pommeroeul;3.7304437;50.471652;50.471652, 3.7304437;
7331;Baudour;3.8327577;50.4814352;50.4814352, 3.8327577;
7332;Neufmaison;3.7918519;50.5304672;50.5304672, 3.7918519;
7333;Tertre;3.8081735;50.4673149;50.4673149, 3.8081735;
7350;Hainin;3.7661218;50.4311514;50.4311514, 3.7661218;
7387;Marchipont;3.666982;50.377885;50.377885, 3.666982;
7500;Ere;3.3668477;50.5822217;50.5822217, 3.3668477;
7501;Orcq;3.3492864;50.6049549;50.6049549, 3.3492864;
7520;Templeuve;3.2831577;50.6449056;50.6449056, 3.2831577;
7530;Gaurain-Ramecroix;3.4834445;50.5924891;50.5924891, 3.4834445;
7531;Havinnes;3.4655917;50.6156953;50.6156953, 3.4655917;
